repo,commit,component,reader1_code,reader2_code,notes
shihabshahrier/skill-builder,cbc4105e1333c2c7e802e3e3c63fa3d4db231833,skill-builder,runtime_output,,
vynazevedo/first-plan,f3ff5be311e381c5324f5301e32d12c4bab43ea3,pattern-extraction,misrouted,,
vynazevedo/first-plan,f3ff5be311e381c5324f5301e32d12c4bab43ea3,plan-emission,misrouted,,
vynazevedo/first-plan,f3ff5be311e381c5324f5301e32d12c4bab43ea3,plan-emission,misrouted,,
thefilesareinthecomputer/dotagents,43f09fabd093c6060b5e9f0769be1d6db6aaa773,code-kg,misrouted,,
vynazevedo/first-plan,f3ff5be311e381c5324f5301e32d12c4bab43ea3,protocol,misrouted,,
thefilesareinthecomputer/dotagents,43f09fabd093c6060b5e9f0769be1d6db6aaa773,meta-loop,runtime_output,,
vynazevedo/first-plan,f3ff5be311e381c5324f5301e32d12c4bab43ea3,lens-php,dead,,
vynazevedo/first-plan,f3ff5be311e381c5324f5301e32d12c4bab43ea3,pattern-extraction,misrouted,,
vynazevedo/first-plan,f3ff5be311e381c5324f5301e32d12c4bab43ea3,lens-go,misrouted,,
vynazevedo/first-plan,f3ff5be311e381c5324f5301e32d12c4bab43ea3,reuse-indexing,misrouted,,
thefilesareinthecomputer/dotagents,43f09fabd093c6060b5e9f0769be1d6db6aaa773,frontend-aesthetics,misrouted,,
anthropics/skills,3b3fad96af16a10759d930941b4520ba0c40edae,skill-creator,runtime_output,,
vynazevedo/first-plan,f3ff5be311e381c5324f5301e32d12c4bab43ea3,protocol,misrouted,,
thefilesareinthecomputer/dotagents,43f09fabd093c6060b5e9f0769be1d6db6aaa773,reflect,dead,,
vynazevedo/first-plan,f3ff5be311e381c5324f5301e32d12c4bab43ea3,pattern-extraction,misrouted,,
AndreasKarz/Vibe-Coding-Dev-Setup,d107b76118b226dd07d15aa6157aed20b82c50ce,email-template-developer,dead,,
vynazevedo/first-plan,f3ff5be311e381c5324f5301e32d12c4bab43ea3,lens-typescript,misrouted,,
AndreasKarz/Vibe-Coding-Dev-Setup,d107b76118b226dd07d15aa6157aed20b82c50ce,email-template-developer,dead,,
vynazevedo/first-plan,f3ff5be311e381c5324f5301e32d12c4bab43ea3,lens-engine,misrouted,,
lugassawan/swe-workbench,0fc0031cc27b0937ec24c2266743fb94a60b2c3b,workflow-delegated-implementation,runtime_output,,
JCodesMore/ai-website-cloner-template,92872bc40ced2c5edb4d5dc9fd3970d40c77f4ca,clone-website,runtime_output,,
thefilesareinthecomputer/dotagents,43f09fabd093c6060b5e9f0769be1d6db6aaa773,frontend-aesthetics,misrouted,,
vynazevedo/first-plan,f3ff5be311e381c5324f5301e32d12c4bab43ea3,lens-terraform,misrouted,,
vynazevedo/first-plan,f3ff5be311e381c5324f5301e32d12c4bab43ea3,reconciliation,misrouted,,
vynazevedo/first-plan,f3ff5be311e381c5324f5301e32d12c4bab43ea3,protocol,misrouted,,
vynazevedo/first-plan,f3ff5be311e381c5324f5301e32d12c4bab43ea3,plan-emission,misrouted,,
JCodesMore/ai-website-cloner-template,92872bc40ced2c5edb4d5dc9fd3970d40c77f4ca,clone-website,misrouted,,
AndreasKarz/Vibe-Coding-Dev-Setup,d107b76118b226dd07d15aa6157aed20b82c50ce,skill-creator,dead,,
AndreasKarz/Vibe-Coding-Dev-Setup,d107b76118b226dd07d15aa6157aed20b82c50ce,email-template-developer,runtime_output,,
vynazevedo/first-plan,f3ff5be311e381c5324f5301e32d12c4bab43ea3,git-intelligence,misrouted,,
AndreasKarz/Vibe-Coding-Dev-Setup,d107b76118b226dd07d15aa6157aed20b82c50ce,skill-creator,dead,,
OpenCnid/recursus-careers,c0bf2208c8b69b8ab5c50b375704f9676a63224c,career-ops,misrouted,,
vynazevedo/first-plan,f3ff5be311e381c5324f5301e32d12c4bab43ea3,lens-terraform,misrouted,,
anthropics/skills,3b3fad96af16a10759d930941b4520ba0c40edae,claude-api,misrouted,,
AndreasKarz/Vibe-Coding-Dev-Setup,d107b76118b226dd07d15aa6157aed20b82c50ce,skill-creator,dead,,
vynazevedo/first-plan,f3ff5be311e381c5324f5301e32d12c4bab43ea3,lens-php,misrouted,,
vynazevedo/first-plan,f3ff5be311e381c5324f5301e32d12c4bab43ea3,pattern-extraction,misrouted,,
0x0funky/agent-sprite-forge,64fd0b57d3f2ae117ef0a95e4c2decc25b4c9dd2,generate2dmap,runtime_output,,
vynazevedo/first-plan,f3ff5be311e381c5324f5301e32d12c4bab43ea3,reuse-indexing,misrouted,,
vynazevedo/first-plan,f3ff5be311e381c5324f5301e32d12c4bab43ea3,plan-emission,misrouted,,
lugassawan/swe-workbench,0fc0031cc27b0937ec24c2266743fb94a60b2c3b,workflow-commit-and-pr,runtime_output,,
AndreasKarz/Vibe-Coding-Dev-Setup,d107b76118b226dd07d15aa6157aed20b82c50ce,code-reviewer,dead,,
AndreasKarz/Vibe-Coding-Dev-Setup,d107b76118b226dd07d15aa6157aed20b82c50ce,devops-specialist,dead,,
breferrari/obsidian-mind,1d367af3c78f36b2e9d16244dcaa103385bd0321,excalidraw-diagram,runtime_output,,
vynazevedo/first-plan,f3ff5be311e381c5324f5301e32d12c4bab43ea3,co-change-analysis,dead,,
thefilesareinthecomputer/dotagents,43f09fabd093c6060b5e9f0769be1d6db6aaa773,notes,dead,,
OpenCnid/recursus-careers,c0bf2208c8b69b8ab5c50b375704f9676a63224c,career-ops,misrouted,,
vynazevedo/first-plan,f3ff5be311e381c5324f5301e32d12c4bab43ea3,provenance-tracker,misrouted,,
vynazevedo/first-plan,f3ff5be311e381c5324f5301e32d12c4bab43ea3,pattern-extraction,misrouted,,
