rule,true_positive,judged,precision,ci_low,ci_high,note
security/stealth-persistence,0,5,0.0,0.0,0.434,fires on documented workflow steps that update AGENTS.md or CLAUDE.md
security/ast-behavioral,0,5,0.0,0.0,0.434,fires on test fixtures bundled inside skill directories
security/data-exfiltration,0,4,0.0,0.0,0.49,"sampled findings were all documentation inside code fences, self-downgraded"
security/unbounded-delegation,1,5,0.2,0.036,0.624,keyword match on 'spawn agent' in legitimate multi-agent workflows
security/cross-component-flow,1,3,0.333,0.061,0.792,
security/no-credential-access,2,5,0.4,0.118,0.769,reflexivity: fires on security skills that name credential paths
content/permission-escalation,2,5,0.4,0.118,0.769,
frontmatter/description-quality,3,6,0.5,0.188,0.812,misses activation phrasing that is not the literal 'use when'
cross/overpermissive-grants,3,6,0.5,0.188,0.812,
content/mcp-skill-alignment,3,6,0.5,0.188,0.812,
content/orphan-skills,3,5,0.6,0.231,0.882,unreferenced is by design in skill collections
quality/negative-only,4,6,0.667,0.3,0.903,some flagged lines do state the positive alternative
hooks/pre-trust-permissions,4,5,0.8,0.376,0.964,
cross/multi-assistant-drift,6,6,1.0,0.61,1.0,
content/circular-references,11,11,1.0,0.741,1.0,
agent/excessive-permissions,5,5,1.0,0.566,1.0,
