full_name,url,clone_url,commit_sha,status,klass,stars,license,language,detected_tools,component_count,total_tokens,always_loaded,findings_total,findings_file,findings_file_fs,findings_pairwise,findings_setup,scan_seconds
AIDevGTM/gtm-cofounder,https://github.com/AIDevGTM/gtm-cofounder,https://github.com/AIDevGTM/gtm-cofounder.git,0402213f43e389f939ea6da3aec4be95ebc22970,ok,COLLECTION,228,MIT,,OpenCode,19,26024,1968,44,40,3,0,1,17.11
anombyte93/prd-taskmaster,https://github.com/anombyte93/prd-taskmaster,https://github.com/anombyte93/prd-taskmaster.git,3a9756ad2f0b60064047d250c112c7133eb6441d,ok,COLLECTION,588,MIT,Python,Claude Code|OpenCode,13,28179,3323,49,39,7,0,3,14.41
arch3rPro/dsh-skills,https://github.com/arch3rPro/dsh-skills,https://github.com/arch3rPro/dsh-skills.git,99d6c91e30954af6857df80c7f512efb9a3545f0,ok,COLLECTION,4,MIT,Python,Claude Code|OpenCode,16,18150,844,29,25,3,0,1,15.22
asker26/claude-task-framework,https://github.com/asker26/claude-task-framework,https://github.com/asker26/claude-task-framework.git,0853ad64626140ab7aa154f6110310d6efd46adc,ok,COLLECTION,4,MIT,Shell,Claude Code|OpenCode,31,25037,5211,31,30,0,0,1,19.29
atlassian/atlassian-mcp-server,https://github.com/atlassian/atlassian-mcp-server,https://github.com/atlassian/atlassian-mcp-server.git,94a30436435fb526a29f820f5f46250870eb75a0,ok,COLLECTION,973,Apache-2.0,JavaScript,,7,23870,0,30,28,0,0,2,14.06
atlassian/forge-skills,https://github.com/atlassian/forge-skills,https://github.com/atlassian/forge-skills.git,6d3897463bdbb2154b29e2b3c047fca244121b64,ok,COLLECTION,20,Apache-2.0,Python,,7,25512,0,27,21,5,0,1,14.05
autoclaw-cc/xiaohongshu-skills,https://github.com/autoclaw-cc/xiaohongshu-skills,https://github.com/autoclaw-cc/xiaohongshu-skills.git,b043748282a57e347c52f517dfb59819121134ab,ok,COLLECTION,1776,MIT,Python,Claude Code,6,5598,507,11,10,0,0,1,12.04
azborgonovo/ai-skills,https://github.com/azborgonovo/ai-skills,https://github.com/azborgonovo/ai-skills.git,5130f729036f868a862484f8133d04fa7b93c13e,ok,COLLECTION,0,MIT,Python,Claude Code,21,44369,1133,71,58,8,3,2,22.01
barkermoney/barker-mcp,https://github.com/barkermoney/barker-mcp,https://github.com/barkermoney/barker-mcp.git,f7e81e4ad67bc8e53f956b2020c0b311102a6929,ok,COLLECTION,3,MIT,JavaScript,,11,17668,0,29,28,0,0,1,13.32
Bd-Mutant7/GitNexus,https://github.com/Bd-Mutant7/GitNexus,https://github.com/Bd-Mutant7/GitNexus.git,e3d926ea3ab7bf2d1dbd295879bcbd130c17672e,ok,COLLECTION,10,NOASSERTION,TypeScript,Claude Code|Cursor|Windsurf|OpenCode,13,8597,2194,11,10,0,0,1,14.72
